id,name,pronunciation,gender,markers,inspiration_id,father,mother,homeland_id,status,meaning,notes,residence_id,timestamp,update_time
47,Viggo Hedegaard,vee-goh / heh-deh-gohr,Male,[],360,,,6,King,"""war, battle"" / ""heathland""",[],6,2026-03-19 18:21:34.692405+00,
48,Ghislain Louvier,ghee-lahn / loo-vee-ay,Male,[],361,"""Oebalus""","""Gorgophone""",4,King,"""pledge, hostage"" / ""wolf hunter""",[],4,2026-03-19 18:21:34.692405+00,
49,Samson Louvier,sahm-sohn / loo-vee-ay,Male,[],362,"""Oebalus""","""Gorgophone""",4,King,"""sun"" / ""wolf hunter""",[],4,2026-03-19 18:21:34.692405+00,
50,Philippe Louvier,fee-leep / loo-vee-ay,Male,[],363,"""Oebalus""","""Bateia""",4,King,"""freer of horses"" / ""wolf hunter""",[],,2026-03-19 18:21:34.692405+00,
51,Petra,pee-trah,Female,[],364,Leopold Lyon,Selene Louvier,4,Princess,"""stone""",[],4,2026-03-19 18:21:34.692405+00,
52,Blandine Dupuis,blahn-deen / doo-pwee,Female,[],365,,,4,Queen,"""gentle, mild"" / ""from the well""",[],4,2026-03-19 18:21:34.692405+00,
53,Lionel Louvier,lee-oh-nell / loo-vee-ay,Male,[],48,Philippe Louvier,,,Prince,"""little lion"" / ""wolf hunter""",[],,2026-03-19 18:21:34.692405+00,
54,Elouan Louvier,ell-loo-ahn / loo-vee-ay,Male,[],49,Philippe Louvier,,,Prince,"""light, shining"" / ""wolf hunter""",[],,2026-03-19 18:21:34.692405+00,
56,Elidir Serpico,ell-ih-deer / srr-pee-coh,Male,[],331,,,25,King,"""studious, gifted"" / ""serpant""",[],25,2026-03-19 18:21:34.692405+00,
57,Cyfaill Serpico,cah-vyell / srr-pee-coh,Male,[],325,Elidir Serpico,Regina Lyon,25,Prince,"""friend"" / ""serpant""",[],25,2026-03-19 18:21:34.692405+00,
58,Angharad Ladrini,ah-hah-rahd / lah-dree-nee,Female,[],371,Bleddyn Ladrini,Rihannon Santo,26,Queen,"""much loved"" / ""little thieves""",[],3,2026-03-19 18:21:34.692405+00,
59,Gábor Vizy,gah-bore vee-zee,Male,[],372,,,7,Citizen,"""man of God"" / ""of the water""",[],7,2026-03-19 18:21:34.692405+00,
60,Bleddyn Ladrini,bleth-ihn / lah-dree-nee,Male,[],373,,,26,Citizen,"""wolf-like"" / ""little thieves""","[""As a son of Hermes, he was a master thief blessed with shapeshifting and invisibility.""]",26,2026-03-19 18:21:34.692405+00,
61,Rihannon Santo,ree-hah-nohn / sahn-toh,Female,[],374,,,26,Citizen,"""divine queen"" / ""priest""",[],26,2026-03-19 18:21:34.692405+00,
64,Grimm Bernhardt,grihm / behrn-hart,Male,[],205,,,11,King,"""wrathful, fierce"" / ""strong as a bear""",[],11,2026-03-19 18:21:34.692405+00,
65,Grethel Teich,greh-tell / tyke,Female,[],378,,,14,Queen,"""little pearl"" / ""pond""",[],11,2026-03-19 18:21:34.692405+00,
66,Falko Bernhardt,fahl-koh / behrn-hart,Male,[],379,Grimm Bernhardt,Grethel Teich,11,Prince,"""falcon"" / ""strong as a bear""",[],11,2026-03-19 18:21:34.692405+00,
67,Eiko Bernhardt,ey-koh / behrn-hart,Male,[],380,Grimm Bernhardt,Grethel Teich,11,Prince,"""oak"" / ""strong as a bear""",[],11,2026-03-19 18:21:34.692405+00,
68,Trystan Bernhardt,trih-stahn / behrn-hart,Male,[],381,Falko Bernhardt,Branwen Saer,11,Prince,"""sorrow"" / ""strong as a bear""",[],11,2026-03-19 18:21:34.692405+00,
69,Branwen Saer,brahn-wehn / sy-rr,Female,[],382,Gwynfor Saer,Ffion Glyndŵr,1,Princess,"""blessed raven"" / ""artisan, craftsman""",[],11,2026-03-19 18:21:34.692405+00,
70,Turul Lovassy,too-rool,Male,[],383,Endre I Lovassy,Emese Várady,5,Prince,"""dream falcon""","[""May be Endre I's eldest child, but he is not an heir."",""May have a crush on Eszter, but it is unrequited.""]",21,2026-03-19 18:21:34.692405+00,
71,Siôrus Saer,shoh-ruhs / sy-rr,Male,[],384,Gwynfor Saer,Ffion Glyndŵr,1,Prince,"""earthworker"" / ""artisan, craftsman""",[],1,2026-03-19 18:21:34.692405+00,
72,Morfran Saer,mohr-frahn / sy-rr,Male,[],385,Gwynfor Saer,Ffion Glyndŵr,1,Prince,"""sea crow"" / ""artisan, craftsman""",[],1,2026-03-19 18:21:34.692405+00,
73,Philomela Saer,fee-loh-mehl-ah / sy-rr,Female,[],386,Gwynfor Saer,Ffion Glyndŵr,1,Princess,"""lover of song"" / ""artisan, craftsman""",[],1,2026-03-19 18:21:34.692405+00,
74,Gwynfor Saer,gwin-forr / sy-rr,Male,[],387,,,1,King,"""greatly blessed"" / ""artisan, craftsman""",[],1,2026-03-19 18:21:34.692405+00,
75,Ffion Glyndŵr,fee-ohn / glynn-dorr,Female,[],388,,,1,Queen,"""foxglove"" / ""river valley""",[],1,2026-03-19 18:21:34.692405+00,
77,Emese Várady,em-eh-shay vah-rah-dee,Female,[],452,,,21,Citizen,"""mother"" / ""of the fortress""",[],21,2026-03-19 18:21:34.692405+00,
