myth_id,inspiration_id,contribution
2,30,led 80 Argive ships; struck by Pandarus; healed and blessed by Athena; killed Pandarus; almost killed Aeneas; struck Aphrodite and Ares with Athena; swapped armor with Glaucus; rescued Nestor from Hector; captured Dolon with Odysseus; killed Dolon and Rhesus; almost killed Hector; struck by Paris; won a captive and a three-legged cauldron from Patroclus' funerary chariot race; won a silver sword from Patroclus' funerary duel
2,31,"led 40 Locrian ships; opted to fight Hector, but lost to Ajax the Great; won a fat ox from Patroclus' funerary footrace"
2,32,
2,33,led the Dardanian contingent with Archelochus; guarded Pandarus' corpse from Diomedes; almost rescued from Diomedes by Aphrodite; rescued from Diomedes by Apollo; healed by Artemis and Leto; rescued Deiphobus from Idomeneus; rescued Hector from Ajax the Great; rescued from Achilles by Poseidon
2,34,led the Lycian contingent with Sarpedon; disoriented by Zeus; swapped armor with Diomedes; guarded Sarpedon's corpse from Patroclus
2,42,
2,54,led 12 Salaminean ships with Teucer; opted to fight Hector; almost killed Hector; gave his war-belt to Hector; given a sword by Hector; rescued Menestheus from Sarpedon and Glaucus with Teucer; almost killed Hector; mistakenly killed Archelochus when aiming for Polydamas; guarded Patroclus' corpse from Hector with Menelaus and Meriones; won a captive from Patroclus' funerary wrestling match; won a shield from Patroclus' funerary duel
2,57,led 12 Salaminean ships with Ajax the Great; struck by Hector; rescued Menestheus from Sarpedon and Glaucus with Ajax the Great; almost killed Hector
2,60,sent to console Achilles by Menelaus; won a pregnant horse from Patroclus' funerary chariot race; won gold from Patroclus' funerary footrace
2,63,halted Asius; won iron from Patroclus' funerary weight-throwing contest
2,64,led 80 Cretan ships with Meriones; killed Asius; struck Deiphobus
2,65,drove Achilles' chariot for Patroclus; consoled Achilles' horses; co-hosted Patroclus' funerary games with Achilles
2,66,
2,70,enslaved by Achilles; enslaved by Agamemnon; enslaved by Achilles
2,71,begged Hector to withdraw; saw Achilles disrespect Hector's corpse
2,96,healed Aeneas with Leto; struck by Hera; fled with Leto
2,99,rescued from Sarpedon and Glaucus by Ajax the Great and Teucer
2,197,killed Elephenor; rescued from Achilles by Apollo
2,201,recalled Odysseus and Menelaus for Helen and Priam; failed to dissuade Paris from Helen
2,203,rescued Paris from Menelaus; forced Helen to bed Paris; almost rescued Aeneas from Diomedes; struck by Diomedes with Athena; healed by Dione; struck by Athena; fled with Ares
2,204,rescued Aeneas from Diomedes; urged Hector to fight Ajax the Great; disoriented Patroclus; rescued Hector from Achilles; chased by Achilles
2,205,lured away from Diomedes by Athena; struck by Diomedes with Athena; healed by Paieon; struck by Athena; fled with Aphrodite
2,207,led contingents from Arisbe and Percote; disobeyed Hector's dismount order; halted by Polypoetes; killed by Idomeneus
2,208,forced Pandarus to strike Menelaus; healed and blessed Diomedes; lured Ares away from Diomedes; struck Aphrodite and Ares with Diomedes; struck Aphrodite and Ares; distracted Hector
2,211,
2,214,struck Agamemnon; killed by Agamemnon
2,217,sent to spy on Greek ships by Hector; captured by Odysseus and Diomedes; killed by Diomedes
2,218,led 40 Euboean ships; killed by Agenor
2,223,
2,224,mediated between Zeus and Hera; crafted Achilles' new divine armor for Thetis; rescued Achilles from Scamander with Hera
2,225,disoriented Zeus with Aphrodite and Hypnos; rescued Achilles from Scamander with Hephaestus; struck Artemis
2,230,led 80 Cretan ships with Idomeneus; guarded Patroclus' corpse from Hector with Ajax the Great and Menelaus; built Patroclus' funerary pyre; won gold from Patroclus' funerary chariot race; won a double-handled bowl from Patroclus' funerary archery contest; won a bronze spear from Patroclus' javelin-throwing contest
2,231,failed to mediate between Achilles and Agamemnon; rescued from Hector by Diomedes; sent Odysseus and Diomedes to spy on Trojan camps
2,233,led the Zeleian contingent; forced to strike Menelaus by Athena; struck Diomedes; killed by Diomedes
2,235,given Achilles' divine armor by Achilles; killed Sarpedon; killed by Hector
2,237,
2,239,rescued Aeneas from Achilles
2,241,led the Lycian contingent with Glaucus; struck by Tlepolemus; killed Tlepolemus; killed by Patroclus
2,243,given new divine armor for Achilles from Hephaestus; gave new divine armor from Hephaestus to Achilles
2,244,struck Sarpedon; killed by Sarpedon
2,245,rescued Paris from Menelaus; sent Athena to provoke Pandarus; refused to heal Ares; disoriented Glaucus; rescued Hector from Teucer; broke Teucer's bow; distracted by Hera with Aphrodite and Hypnos; sent Priam and Hermes to retrieve Hector's corpse from Achilles
2,249,killed by Agamemnon
2,250,led 7 Thessalian ships with Philoctetes
2,252,led the Dardanian contingent with Aeneas; mistakenly killed by Ajax the Great when aiming for Polydamas
2,281,won a mule from Patroclus' funerary boxing match
2,282,led 11 Thessalian ships; won armor from Patroclus' funerary chariot race
3,1,bribed Astyoche for Eurypylus; bribed Eurypylus with Cassandra
3,2,"gave Achilles' divine armor to Odysseus with Menelaus; opposed Ajax the Great's burial, but forced to yield by Odysseus; hid at Tenedos"
3,3,gave Achilles' divine armor to Odysseus with Agamemnon; opposed Ajax the Great's burial; disrespected Paris' corpse; hid in the Trojan Horse
3,6,given Achilles' divine armor by Agamemnon and Menelaus; captured Helenus with Diomedes; retrieved Neoptolemus; gave Achilles' divine armor to Neoptolemus; stole an Athena statue with Diomedes; hid in the Trojan Horse
3,7,killed by Philoctetes
3,14,fought with Helenus over Helen; abducted Helen and Aethra
3,15,hid in the Trojan Horse
3,16,hid in the Trojan Horse
3,17,abducted by Deiphobus with Helen
3,20,abducted by Deiphobus with Aethra
3,28,healed Philoctetes; killed by Eurypylus
3,30,captured Helenus with Odysseus; retrieved Philoctetes; stole an Athena statue with Odysseus; hid in the Trojan Horse
3,31,hid in the Trojan Horse
3,54,almost killed Agamemnon and Menelaus; driven mad by Athena; committed suicide with Hector's sword
3,57,guarded Ajax the Great's corpse from Agamemnon and Menelaus; hid in the Trojan Horse
3,64,hid in the Trojan Horse
3,66,hid in the Trojan Horse
3,99,hid in the Trojan Horse
3,208,drove Ajax the Great mad; inspired Epeius to build the Trojan Horse
3,223,fought with Deiphobus over Helen; fled to Mount Ida; captured by Odysseus and Diomedes; foretold the arrivals of Philoctetes and Neoptolemus; foretold the theft of an Athena statue
3,276,retrieved by Diomedes; healed by Machaon; killed Paris; hid at Tenedos
3,278,retrieved by Odysseus; killed Eurypylus; hid in the Trojan Horse
3,279,bribed with Cassandra by Priam; killed Machaon; killed by Neoptolemus
3,281,built the Trojan Horse; hid in the Trojan Horse
3,282,hid in the Trojan Horse
3,303,bribed by Priam for Eurypylus
4,1,fled to an altar of Zeus; killed by Neoptolemus
4,2,opposed Ajax the Lesser for assaulting Cassandra; enslaved Cassandra
4,3,rescued Helen from Deiphobus; killed Deiphobus; almost killed Helen
4,4,opposed the Trojan Horse; fled to a temple of Athena; almost rescued by Coroebus; assaulted by Ajax the Lesser; enslaved by Agamemnon
4,6,killed Astyanax; enslaved Hecuba and Helenus
4,14,betrayed by Helen; killed by Menelaus
4,15,rescued Aethra from Deiphobus
4,16,rescued Aethra from Deiphobus
4,17,rescued from Deiphobus by Acamas and Demophon
4,19,enslaved by Odysseus
4,20,betrayed Deiphobus; rescued from Deiphobus by Menelaus; almost killed by Menelaus
4,31,killed Coroebus; assaulted Cassandra; almost rescued from Athena by Poseidon; killed by Athena and Poseidon
4,33,"fled to Mount Ida with Anchises, Ascanius, and Creusa, but lost Creusa"
4,71,enslaved by Neoptolemus
4,208,killed Ajax the Lesser with Poseidon
4,223,enslaved by Odysseus
4,239,sent snakes to kill Laocoön; almost rescued Ajax the Lesser from Athena; killed Ajax the Lesser with Athena
4,278,killed Priam; sacrificed Polyxena to Achilles' ghost; enslaved Andromache
4,297,opposed the Trojan Horse; killed by snakes sent by Poseidon
4,298,infiltrated Troy; convinced Priam to welcome the Trojan Horse; signaled the invasion
4,311,almost rescued Cassandra from Ajax the Lesser; killed by Ajax the Lesser
4,315,sacrificed to Achilles' ghost by Neoptolemus
5,18,failed to strike the boar
5,37,struck the boar; given the boar's pelt and tusks by Meleager
5,38,killed the boar; gave the boar's pelt and tusks to Atalanta; killed Plexippus and Toxeus for seizing the boar's pelt and tusks from Atalanta; killed by Althaea
5,40,failed to strike the boar
5,41,failed to strike the boar
5,42,King of the Dolopians and Achilles' tutor | failed to strike the boar
5,43,mistakenly killed Eurytion; failed to strike the boar
5,44,failed to strike the boar
5,45,mistakenly killed by Peleus
5,46,failed to strike the boar
5,47,failed to strike the boar
5,48,failed to strike the boar
5,49,failed to strike the boar
5,50,killed Meleager by burning his magic log
5,51,forgot to honor Artemis during a harvest festival
5,52,seized the boar's pelt and tusks from Atalanta with Toxeus; killed by Meleager
5,53,seized the boar's pelt and tusks from Atalanta with Plexippus; killed by Meleager
5,96,deity of hunting and chastity | summoned the boar
6,2,killed by Clytemnestra and Aegisthus
6,4,foretold Agamemnon's murder by Clytemnestra and Aegisthus; foretold her own murder by Clytemnestra; killed by Clytemnestra
6,8,briefly hosted Orestes in Crisa with Pylades and Strophius
6,10,sent to adorn Agamemnon's tomb by Clytemnestra; reunited with Orestes; killed Clytemnestra and Aegisthus with Orestes and Pylades
6,11,"briefly exiled to Crisa by Clytemnestra; sent to avenge Agamemnon by Apollo; reunited with Electra; killed Clytemnestra and Aegisthus with Electra and Pylades; cursed with Furies by Clytemnestra; fled to Delphi, then to Athens"
6,12,"killed Agamemnon with Clytemnestra; killed by Orestes, Electra, and Pylades"
6,13,"refused to help Orestes, Electra, and Pylades kill Clytemnestra and Aegisthus"
6,24,"briefly exiled Orestes to Crisa; killed Agamemnon with Aegisthus; killed Cassandra; sent Electra to adorn Agamemnon's tomb; killed by Orestes, Electra, and Pylades; cursed Orestes with Furies"
6,204,sent Orestes to avenge Agamemnon; briefly opposed the Furies
6,208,hosted Orestes' murder trial; transformed the Furies into the Eumenides
6,325,briefly hosted Orestes in Crisa with Anaxibia and Strophius; killed Clytemnestra and Aegisthus with Electra and Orestes
6,331,briefly hosted Orestes in Crisa with Anaxibia and Pylades
7,15,"briefly exiled to Chalcis with Demophon by Menestheus, Castor, and Pollux"
7,16,"briefly exiled to Chalcis with Acamas by Menestheus, Castor, and Pollux"
7,17,briefly hosted Helen in Aphidna; enslaved by Castor and Pollux
7,18,"abducted Helen with Pirithous; left Helen with Aethra; almost abducted Persephone with Pirithous; rescued from Hades by Heracles; exiled to Scyros by Menestheus, Castor, and Pollux; killed by Lycomedes"
7,20,abducted by Theseus and Pirithous; left with Aethra; rescued from Aethra by Castor and Pollux
7,41,abducted Helen with Theseus; almost abducted Persephone with Theseus; trapped by Hades
7,46,rescued Helen from Aethra with Pollux; enslaved Aethra with Pollux; briefly exiled Acamas and Demophon to Chalcis with Menestheus and Pollux; exiled Theseus to Scyros with Menestheus and Pollux
7,47,rescued Helen from Aethra with Castor; enslaved Aethra with Castor; briefly exiled Acamas and Demophon to Chalcis with Menestheus and Castor; exiled Theseus to Scyros with Menestheus and Castor
7,99,usurped Athens during Theseus' absence; briefly exiled Acamas and Demophon to Chalcis with Castor and Pollux; exiled Theseus to Scyros with Castor and Pollux
7,218,briefly hosted Acamas and Demophon in Chalcis
7,339,almost trapped Theseus; trapped Pirithous
7,340,killed Theseus
7,409,rescued Theseus from Hades; almost rescued Pirithous from Hades
8,379,killed Dryas; arranged to wed Procne by Pandion; abducted Philomela; assaulted Philomela; mistakenly ate Itys; almost killed Philomela and Procne; turned into a hoopoe
8,380,killed by Tereus
8,381,killed by Procne; fed to Tereus by Procne
8,382,arranged to wed Tereus by Pandion; rescued Philomela from Tereus; killed Itys; fed Itys to Tereus; almost killed by Tereus; turned into a swallow
8,386,abducted by Tereus; assaulted by Tereus; rescued from Tereus by Procne; almost killed by Tereus; turned into a nightingale
8,387,arranged for Procne and Tereus to wed
9,48,briefly exiled Icarius and Tyndareus to Pleuron with Hippocoön and Leucippus; killed Oeonus with Leucippus; killed by Heracles
9,49,briefly exiled Icarius and Tyndareus to Pleuron with Hippocoön and Alcon; killed Oeonus with Alcon; killed by Heracles
9,361,"briefly exiled to Pleuron with Icarius by Hippocoön, Alcon, and Leucippus; arranged to wed Leda by Thestius; rescued from Hippocoön, Alcon, and Leucippus by Heracles"
9,362,"briefly exiled to Pleuron with Tyndareus by Hippocoön, Alcon, and Leucippus; rescued from Hippocoön, Alcon, and Leucippus by Heracles"
9,363,briefly exiled Icarius and Tyndareus to Pleuron with Alcon and Leucippus; killed by Heracles
9,409,"rescued Icarius and Tyndareus from Hippocoön, Alcon, and Leucippus; killed Hippocoön, Alcon, and Leucippus"
9,411,briefly hosted Icarius and Tyndareus in Pleuron; arranged for Leda and Tyndareus to wed
9,413,arranged to wed Tyndareus by Thestius
9,414,killed by Alcon and Leucippus
10,3,"told Peisistratus and Telemachus about Odysseus with Helen; told Telemachus about Calypso, Eidothea, and Proteus"
10,6,"captured by Calypso; rescued from Calypso by Hermes; built a raft; almost killed by Poseidon; rescued from Poseidon by Ino; blessed by Athena; retrieved by Nausicaa; told Alcinous and Arete about Calypso; given a bronze sword by Broadsea; given fine clothes and gold by Arete; told Alcinous, Arete, Broadsea, Laodamas, and Nausicaa about the Cicones, the Lotus Eaters, Polyphemus, Aeolus, the Laestrygonians, Circe, Tiresias, the Sirens, Scylla, Charybdis, and Helios; sent to seek Eumaeus in Ithaca by Athena; learned about the suitors from Eumaeus; given a cloak by Eumaeus; learned about Laertes about Eumaeus; sent Odysseus to seek Laertes by Eumaeus; struck by Antinous; warned Amphinomus about an upcoming counterattack: almost struck by Eurymachus; struck by Ctesippus; strung his bow and shot it through 12 axes; killed Antinous and Eurymachus; reunited with Penelope; reunited with Laertes"
10,20,told Peisistratus and Telemachus about Odysseus with Menelaus
10,21,"blamed for the suitors' disrespect by Antinous; reassured by Athena's vision of Iphthime; confronted Alcinous, Amphinomus, and Eurymachus about Telemachus; challenged the suitors to string Odysseus' bow; reunited with Odysseus"
10,44,reunited with Odysseus
10,208,"sent Telemachus to seek Nestor in Pylos; sent a vision of Iphthime to reassure Penelope; blessed Odysseus; sent Nausicaa to retrieve Odysseus; sent Odysseus to seek Eumaeus in Ithaca; sent Peisistratus, Telemachus, and Theoclymenus to seek Odysseus in Ithaca"
10,231,"told Telemachus about Agamemnon, Menelaus, Aegisthus, Clytemnestra, Orestes, and Odysseus; sent Peisistratus and Telemachus to seek Menelaus in Sparta"
10,239,broke Odysseus' raft; almost killed Odysseus
10,245,sent Hermes to rescue Odysseus from Calypso; killed Odysseus' crew; almost killed Odysseus
10,359,"scolded the suitors for their disrespect; sent to seek Nestor in Pylos by Athena; learned about Agamemnon, Menelaus, Aegisthus, Clytemnestra, Orestes, and Odysseus from Nestor; bathed and oiled by Polycaste; sent to seek Menelaus in Sparta with Peisistratus by Nestor; learned about Odysseus from Helen and Menelaus; learned about Calypso, Eidothea, and Proteus from Menelaus; sent to seek Odysseus in Ithaca with Peisistratus and Theoclymenus by Athena and Menelaus; failed to string Odysseus' bow; killed Amphinomus"
10,360,led 22 of Odysseus' men to investigate Circe; killed Helios' cattle; killed by Zeus
10,456,blamed Penelope for the suitors' disrespect; planned Telemachus' murder at Asteris with Amphinomus and Eurymachus; struck Odysseus; failed to string Odysseus' bow; killed by Odysseus
10,458,foretold the suitors' murders
10,460,bathed and oiled Telemachus
10,461,"sent to seek Menelaus in Sparta with Telemachus by Nestor; learned about Odysseus from Helen and Menelaus; sent to seek Odysseus in Ithaca with Telemachus and Theoclymenus by Athena and Menelaus, but returned to Pylos"
10,464,planned Telemachus' murder at Asteris with Antinous and Amphinomus; mistakenly struck a servant; failed to string Odysseus' bow; killed by Odysseus
10,465,overheard Telemachus' murder plan from Antinous and Eurymachus
10,467,sent to rescue Odysseus from Calypso by Zeus; gave a magic antidote to Odysseus
10,469,"captured Odysseus, but forced to yield by Hermes and Zeus"
10,471,rescued Odysseus from Poseidon
10,472,"sent to retrieve Odysseus by Athena; learned about the Cicones, the Lotus Eaters, Polyphemus, Aeolus, the Laestrygonians, Circe, Tiresias, the Sirens, Scylla, Charybdis, and Helios from Odysseus"
10,473,"learned about Calypso from Odysseus; hosted hospitality games for Odysseus; learned about the Cicones, the Lotus Eaters, Polyphemus, Aeolus, the Laestrygonians, Circe, Tiresias, the Sirens, Scylla, Charybdis, and Helios from Odysseus"
10,474,"learned about Calypso from Odysseus; gave fine clothes and gold to Odysseus; learned about the Cicones, the Lotus Eaters, Polyphemus, Aeolus, the Laestrygonians, Circe, Tiresias, the Sirens, Scylla, Charybdis, and Helios from Odysseus"
10,475,"gave a bronze sword to Odysseus; learned about the Cicones, the Lotus Eaters, Polyphemus, Aeolus, the Laestrygonians, Circe, Tiresias, the Sirens, Scylla, Charybdis, and Helios from Odysseus"
10,476,killed and ate six of Odysseus' men; blinded by Odysseus; sent Poseidon to thwart Odysseus' journey to Ithaca
10,477,gave a bag of winds to Odysseus
10,478,turned 22 of Odysseus' men into pigs; reversed the pig spell; sent Odysseus to seek Tiresias in the Underworld; sent Odysseus to seek Helios in Thrinacia
10,480,ate six of Odysseus' men
10,481,"challenged Odysseus to Alcinous' hospitality games; learned about the Cicones, the Lotus Eaters, Polyphemus, Aeolus, the Laestrygonians, Circe, Tiresias, the Sirens, Scylla, Charybdis, and Helios from Odysseus"
10,482,told Odysseus about the suitors; gave Odysseus a cloak; told Odysseus about Laertes; sent Odysseus to seek Laertes
10,483,sent to seek Odysseus in Ithaca with Peisistratus and Telemachus by Athena and Menelaus; foretold the suitors' murders
10,484,"planned Telemachus' murder at Asteris with Antinous and Eurymachus; warned about an upcoming counterattack by Odysseus, but refused to yield; failed to string Odysseus' bow; killed by Telemachus"
10,485,struck Odysseus
